,Powiat,Laczna ilosc glosow,Laczna ilosc glosow niewaznych,Poprzez brak głosu,Poprzez zbyt wiele głosów
76,Miasto na prawach powiatu Zamość,32244,390,171,219
77,Powiat gorzowski,39322,942,311,551
78,Powiat krośnieński,28004,814,263,495
79,Powiat międzyrzecki,29686,915,250,608
80,Powiat nowosolski,43883,1021,363,567
81,Powiat słubicki,25342,701,199,442
82,Powiat strzelecko-drezdenecki,24245,764,205,490
83,Powiat sulęciński,17628,735,174,440
84,Powiat świebodziński,29224,769,223,462
85,Powiat zielonogórski,40717,1180,415,686
86,Powiat żagański,38092,1022,350,561
87,Powiat żarski,47822,1164,398,677
88,Powiat wschowski,19387,550,164,351
89,Miasto na prawach powiatu Gorzów Wielkopolski,64079,958,322,535
90,Miasto na prawach powiatu Zielona Góra,82049,904,353,429
91,Powiat łódzki wschodni,46420,526,224,302
92,Powiat brzeziński,18153,332,143,189
93,Miasto na prawach powiatu Łódź,396163,3326,1633,1693
94,Powiat bełchatowski,63970,1406,466,770
95,Powiat opoczyński,43228,859,292,470
96,Powiat piotrkowski,52543,1141,395,637
97,Powiat radomszczański,61574,1408,472,781
98,Powiat rawski,26986,732,298,374
99,Powiat skierniewicki,23041,578,230,292
100,Powiat tomaszowski,65810,1406,533,765
101,Miasto na prawach powiatu Piotrków Trybunalski,40115,557,183,317
102,Miasto na prawach powiatu Skierniewice,27979,340,156,130
103,Powiat kutnowski,51424,1271,505,678
104,Powiat łaski,29202,626,246,313
105,Powiat łęczycki,27235,816,334,409
106,Powiat łowicki,44570,1177,554,530
107,Powiat pabianicki,71474,1179,464,576
108,Powiat pajęczański,28858,726,281,383
109,Powiat poddębicki,23656,703,280,370
110,Powiat sieradzki,65542,1529,553,855
111,Powiat wieluński,42865,866,335,458
112,Powiat wieruszowski,23807,556,250,263
113,Powiat zduńskowolski,36576,678,281,338
114,Powiat zgierski,99786,1740,753,783
115,Powiat chrzanowski,70039,964,356,608
116,Powiat myślenicki,75062,1197,457,740
117,Powiat oświęcimski,88001,1176,509,667
118,Powiat suski,46007,843,332,511
119,Powiat wadowicki,91279,1537,606,931
120,Powiat krakowski,173701,2796,1168,1266
121,Powiat miechowski,26509,561,262,253
122,Powiat olkuski,63323,1082,412,529
123,Miasto na prawach powiatu Kraków,503101,4673,1974,2049
124,Powiat gorlicki,56788,995,374,621
125,Powiat limanowski,71648,1232,494,738
126,Powiat nowosądecki,121781,1962,840,1122
127,Powiat nowotarski,97083,1946,763,1183
128,Powiat tatrzański,41445,598,242,356
129,Miasto na prawach powiatu Nowy Sącz,45721,441,201,240
130,Powiat bocheński,61796,941,374,567
131,Powiat brzeski,49221,898,358,540
132,Powiat dąbrowski,28278,571,245,326
133,Powiat proszowicki,23501,566,216,350
134,Powiat tarnowski,106607,1836,747,1089
135,Powiat wielicki,81543,985,467,518
136,Miasto na prawach powiatu Tarnów,59034,592,260,332
137,Powiat ciechanowski,48625,933,369,564
138,Powiat gostyniński,24137,595,237,358
139,Powiat mławski,37564,839,269,570
140,Powiat płocki,60371,1507,590,917
141,Powiat płoński,46601,1225,511,714
142,Powiat przasnyski,26599,621,257,364
143,Powiat sierpecki,26237,618,242,376
144,Powiat sochaczewski,49223,712,298,414
145,Powiat żuromiński,19664,464,150,314
146,Powiat żyrardowski,46786,621,265,356
