Powiat,URL
Powiat gorlicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120500
Powiat limanowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120700
Powiat nowosądecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121000
Powiat nowotarski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121100
Powiat tatrzański,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121700
Miasto na prawach powiatu Nowy Sącz,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/126200
Powiat bocheński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120100
Powiat brzeski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120200
Powiat dąbrowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/120400
Powiat proszowicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121400
Powiat tarnowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121600
Powiat wielicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/121900
Miasto na prawach powiatu Tarnów,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/126300
Powiat ciechanowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140200
Powiat gostyniński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140400
Powiat mławski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141300
Powiat płocki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141900
Powiat płoński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142000
Powiat przasnyski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142200
Powiat sierpecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142700
Powiat sochaczewski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142800
Powiat żuromiński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143700
Powiat żyrardowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143800
Miasto na prawach powiatu Płock,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/146200
Powiat białobrzeski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140100
Powiat grójecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140600
Powiat kozienicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140700
Powiat lipski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140900
Powiat przysuski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142300
Powiat radomski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/142500
Powiat szydłowiecki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143000
Powiat zwoleński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/143600
Miasto na prawach powiatu Radom,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/146300
Powiat garwoliński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/140300
Powiat łosicki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141000
Powiat makowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141100
Powiat miński,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141200
Powiat ostrołęcki,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141500
Powiat ostrowski,https://www.wybory.gov.pl/sejmsenat2023/pl/sejm/wynik/pow/141600
